time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-24 00:00:00+00:00,12206,838,3930,1963
2026-03-25 00:00:00+00:00,13277,819,3937,2179
2026-03-26 00:00:00+00:00,15304,1054,3681,1962
2026-03-27 00:00:00+00:00,7600,803,3180,1850
2026-03-28 00:00:00+00:00,3614,561,2627,1505
2026-03-29 00:00:00+00:00,5846,964,2720,1505
2026-03-30 00:00:00+00:00,4203,756,3292,1860
2026-03-31 00:00:00+00:00,15388,1024,3896,1923
2026-04-01 00:00:00+00:00,20329,1016,3551,1922
2026-04-02 00:00:00+00:00,12712,1303,3723,1909
2026-04-03 00:00:00+00:00,14692,1360,3476,1852
2026-04-04 00:00:00+00:00,7020,917,2426,1341
2026-04-05 00:00:00+00:00,5886,1034,2725,1424
2026-04-06 00:00:00+00:00,4704,881,3425,1945
